Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,BALL LOST,Duels,2,,,,,7,0,0.4590,0.8847,,
Adversaire,BALL LOST,Duels,2,,,,,7,0,0.6875,0.8037,,
Adversaire,BALL LOST,Duels,2,,,,,8,0,0.3281,0.7321,,
Adversaire,BALL LOST,Duels,2,,,,,88,0,0.3750,0.0841,,
Adversaire,BALL LOST,Duels,2,,,,,18,0,0.1172,0.3209,,
Wydad,Box,,1,,,,,18,0,0.8770,0.2399,,
Wydad,Box,,1,,,,,18,0,0.9355,0.3053,,
Wydad,Box,,1,,,,,18,0,0.8965,0.4237,,
Wydad,Box,,1,,,,,18,0,0.9297,0.6667,,
Wydad,Box,,1,,,,,28,0,0.8594,0.3645,,
Wydad,Box,,1,,,,,28,0,0.9063,0.4548,,
Wydad,Box,,1,,,,,28,0,0.9004,0.6854,,
Wydad,Box,,1,,,,,28,0,0.8555,0.6417,,
Wydad,Box,,1,,,,,22,0,0.8848,0.7383,,
Wydad,Box,,1,,,,,22,0,0.8789,0.6355,,
Wydad,Box,,1,,,,,22,0,0.8906,0.6075,,
Wydad,Box,,1,,,,,22,0,0.9512,0.7445,,
Wydad,Box,,1,,,,,7,0,0.8906,0.2243,,
Wydad,Box,,1,,,,,7,0,0.9219,0.2648,,
Wydad,Box,,1,,,,,7,0,0.9043,0.3333,,
Wydad,Box,,1,,,,,9,0,0.9316,0.4050,,
Wydad,Box,,1,,,,,9,0,0.9512,0.7414,,
Wydad,Box,,1,,,,,11,0,0.9063,0.5888,,
Wydad,Box,,1,,,,,3,0,0.8828,0.4424,,
Wydad,Box,,1,,,,,14,0,0.8457,0.4611,,
Adversaire,Box,,2,,,,,99,0,0.8730,0.5047,,
Adversaire,Box,,2,,,,,99,0,0.8711,0.6511,,
Adversaire,Box,,2,,,,,5,0,0.8887,0.6417,,
Adversaire,Box,,2,,,,,5,0,0.9238,0.7196,,
Adversaire,Box,,2,,,,,4,0,0.8691,0.4268,,
Adversaire,Box,,2,,,,,3,0,0.8633,0.7352,,
Adversaire,Box,,2,,,,,23,0,0.9355,0.2461,,
Adversaire,Box,,2,,,,,27,0,0.9004,0.5514,,
Adversaire,Box,,2,,,,,17,0,0.8359,0.4766,,
Adversaire,Recovery,,2,,,,,20,0,0.3359,0.1869,,
Adversaire,Recovery,,2,,,,,20,0,0.3887,0.1963,,
Adversaire,Recovery,,2,,,,,20,0,0.3574,0.3333,,
Adversaire,Recovery,,2,,,,,20,0,0.3848,0.6106,,
Adversaire,Recovery,,2,,,,,20,0,0.5938,0.0810,,
Adversaire,Recovery,,2,,,,,13,0,0.7168,0.3240,,
Adversaire,Recovery,,2,,,,,13,0,0.5254,0.5607,,
Adversaire,Recovery,,2,,,,,13,0,0.1543,0.4081,,
Adversaire,Recovery,,2,,,,,13,0,0.4180,0.7601,,
Adversaire,Recovery,,2,,,,,13,0,0.4238,0.8287,,
Adversaire,Recovery,,2,,,,,22,0,0.5527,0.1745,,
Adversaire,Recovery,,2,,,,,22,0,0.2871,0.1807,,
Adversaire,Recovery,,2,,,,,22,0,0.5410,0.2960,,
Adversaire,Recovery,,2,,,,,22,0,0.3242,0.6760,,
Adversaire,Recovery,,2,,,,,28,0,0.2754,0.6262,,
Adversaire,Recovery,,2,,,,,28,0,0.2930,0.7227,,
Adversaire,Recovery,,2,,,,,28,0,0.2363,0.8536,,
Adversaire,Recovery,,2,,,,,23,0,0.6309,0.2087,,
Adversaire,Recovery,,2,,,,,23,0,0.2188,0.0748,,
Adversaire,Recovery,,2,,,,,4,0,0.4434,0.8505,,
Adversaire,Recovery,,2,,,,,3,0,0.3477,0.3084,,
Adversaire,Recovery,,2,,,,,5,0,0.1504,0.7321,,
Adversaire,Recovery,,2,,,,,18,0,0.1348,0.4766,,
Adversaire,Recovery,,2,,,,,99,0,0.4863,0.4953,,
Adversaire,Recovery,,2,,,,,3,0,0.2891,0.1246,,
Adversaire,Recovery,,2,,,,,3,0,0.0977,0.4237,,
Adversaire,Recovery,,2,,,,,3,0,0.5762,0.1308,,
Adversaire,Recovery,,2,,,,,3,0,0.0820,0.4455,,
Adversaire,Recovery,,2,,,,,3,0,0.3242,0.3084,,
Adversaire,Recovery,,2,,,,,3,0,0.3750,0.3988,,
Adversaire,Recovery,,2,,,,,22,0,0.4316,0.4984,,
Adversaire,Recovery,,2,,,,,22,0,0.4297,0.3707,,
Adversaire,Recovery,,2,,,,,22,0,0.6641,0.7632,,
Adversaire,Recovery,,2,,,,,22,0,0.1602,0.1153,,
Adversaire,Recovery,,2,,,,,22,0,0.2773,0.0717,,
Adversaire,Recovery,,2,,,,,22,0,0.3438,0.0841,,
Adversaire,Recovery,,2,,,,,4,0,0.1250,0.3209,,
Adversaire,Recovery,,2,,,,,4,0,0.1602,0.4798,,
Adversaire,Recovery,,2,,,,,4,0,0.3984,0.8037,,
Adversaire,Recovery,,2,,,,,23,0,0.3477,0.3520,,
Adversaire,Recovery,,2,,,,,23,0,0.2051,0.0623,,
Adversaire,Recovery,,2,,,,,23,0,0.2031,0.2087,,
Adversaire,Recovery,,2,,,,,28,0,0.3906,0.5265,,
Adversaire,Recovery,,2,,,,,28,0,0.1250,0.5109,,
Adversaire,Recovery,,2,,,,,5,0,0.3262,0.7040,,
Adversaire,Recovery,,2,,,,,5,0,0.3418,0.7975,,
Adversaire,Recovery,,2,,,,,18,0,0.0859,0.3863,,
Adversaire,Recovery,,2,,,,,99,0,0.0859,0.8567,,
Adversaire,Recovery,,2,,,,,8,0,0.3574,0.7009,,
Wydad,Recovery,,1,,,,,24,0,0.1309,0.0872,,
