Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.5645,0.8037,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.6465,0.7850,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.6660,0.8162,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.8242,0.1371,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.1543,0.8069,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.6465,0.8505,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.6660,0.8692,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.6582,0.1153,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.1523,0.1682,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.1836,0.3209,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.2324,0.3925,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.1406,0.6417,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.4297,0.0561,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.2832,0.0935,,
Adversaire,Ballon perdu,Lost,2,,,,,4,,0.5469,0.2150,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.4746,0.4891,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.3477,0.4984,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.4277,0.2181,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.6484,0.2430,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.1465,0.5670,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.6602,0.8411,,
Adversaire,Ballon perdu,Lost,2,,,,,17,,0.0879,0.3707,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.1543,0.4361,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.1641,0.2991,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.0566,0.2430,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.1172,0.1246,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.2773,0.2586,,
Adversaire,Ballon perdu,Lost,2,,,,,19,,0.4355,0.1402,,
Adversaire,Ballon perdu,Lost,2,,,,,21,,0.5723,0.4642,,
Adversaire,Ballon perdu,Lost,2,,,,,21,,0.5449,0.7072,,
Adversaire,Ballon perdu,Lost,2,,,,,21,,0.6895,0.6978,,
Adversaire,Ballon perdu,Lost,2,,,,,21,,0.7500,0.6604,,
Adversaire,Ballon perdu,Lost,2,,,,,21,,0.4102,0.8910,,
Adversaire,Ballon perdu,Lost,2,,,,,20,,0.3887,0.5919,,
Adversaire,Ballon perdu,Lost,2,,,,,20,,0.3262,0.4486,,
Adversaire,Ballon perdu,Lost,2,,,,,20,,0.5840,0.2928,,
Adversaire,Ballon perdu,Lost,2,,,,,20,,0.1094,0.7196,,
Adversaire,Ballon perdu,Lost,2,,,,,16,,0.1543,0.8349,,
Adversaire,Ballon perdu,Lost,2,,,,,16,,0.2031,0.6885,,
Adversaire,Ballon perdu,Lost,2,,,,,16,,0.3730,0.7445,,
Adversaire,Ballon perdu,Lost,2,,,,,16,,0.3164,0.6262,,
Adversaire,Ballon perdu,Lost,2,,,,,5,,0.1563,0.6947,,
Adversaire,Ballon perdu,Lost,2,,,,,5,,0.6895,0.8847,,
Adversaire,Ballon perdu,Lost,2,,,,,27,,0.2676,0.6947,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.1719,0.3022,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.2383,0.1340,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.5684,0.1308,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.5449,0.1651,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.6016,0.1433,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.6777,0.1371,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.6582,0.1776,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.6094,0.1931,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.4316,0.2118,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.4082,0.2866,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3555,0.2991,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3418,0.2430,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3105,0.3178,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3457,0.3614,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3809,0.4050,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3574,0.4361,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.4160,0.5265,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.4668,0.4922,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.4824,0.3551,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3594,0.6324,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3223,0.6199,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.5742,0.7072,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.3652,0.6791,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.2500,0.7072,,
Adversaire,Duel gagne,Duels,2,,,,,17,,0.2988,0.1994,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2207,0.5639,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.1934,0.6355,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2930,0.5327,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.0977,0.4424,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2676,0.3084,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.4434,0.7695,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.5137,0.8816,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.3906,0.8941,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.3398,0.8536,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.3145,0.8629,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2344,0.8785,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.1016,0.8474,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.0859,0.8816,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2910,0.1776,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.7227,0.1745,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.9160,0.8567,,
Adversaire,Duel gagne,Duels,2,,,,,20,,0.2363,0.7819,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.8555,0.2679,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.8535,0.3676,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.6895,0.8069,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.6543,0.8629,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.6094,0.9252,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.5332,0.7882,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.8574,0.8598,,
Adversaire,Duel gagne,Duels,2,,,,,11,,0.1387,0.9346,,
